priority,group,file_ar,text_ar,file_en,text_en,note
"1","cue","cue-001-xx40ok.mp3","برافو عليك!","cue-001-1t8pwjb.mp3","Well done!","حماس وفرحة، قصيرة"
"1","cue","cue-002-hciila.mp3","جامد جدًا!","cue-002-1nf2wfw.mp3","Awesome!","حماس وفرحة، قصيرة"
"1","cue","cue-003-aah9xq.mp3","قربت! جرّب تاني","cue-003-1y4ceqm.mp3","So close — try again!","حماس وفرحة، قصيرة"
"1","cue","cue-004-115us2p.mp3","رقم قياسي جديد!","cue-004-d7dlqw.mp3","New personal record!","حماس وفرحة، قصيرة"
"1","cue","cue-005-1n7utbq.mp3","طلعت مستوى جديد!","cue-005-1ge5pj0.mp3","You levelled up!","حماس وفرحة، قصيرة"
"1","cue","cue-006-16rcupz.mp3","استعد…","cue-006-afzy04.mp3","Get ready…","حماس وفرحة، قصيرة"
"1","cue","cue-007-jr7tkk.mp3","يلا!","cue-007-iciszv.mp3","Go!","حماس وفرحة، قصيرة"
"1","cue","cue-008-oes8hh.mp3","كياي!","cue-008-ssnaf6.mp3","Kihap!","حماس وفرحة، قصيرة"
"1","cue","cue-009-1dipvw7.mp3","أهلًا بيك يا بطل!","cue-009-ldfiaa.mp3","Welcome, champion!","حماس وفرحة، قصيرة"
"1","cue","cue-010-utlnhj.mp3","برافو، خلّصت الإحماء!","cue-010-cgywnl.mp3","Warm-up done — great job!","حماس وفرحة، قصيرة"
"1","hint","hint-001-pqhh2h.mp3","اعمل زي اللي في الفيديو لحد ما العداد يخلص","hint-001-1a8fr00.mp3","Copy the video until the timer runs out","شرح هادي لطفل"
"1","hint","hint-002-1k59duz.mp3","بص على كل خطوة، وبعدين اتفرج على الفيديو","hint-002-ntj8a2.mp3","Look at each step, then watch the video","شرح هادي لطفل"
"1","hint","hint-003-peqzzj.mp3","اسحب النقط الملونة عشان تظبط الوضعية","hint-003-1skoanp.mp3","Drag the coloured dots to fix the pose","شرح هادي لطفل"
"1","hint","hint-004-1a8y20y.mp3","اسحب القطع ورتّبها صح","hint-004-1n2is3e.mp3","Drag the pieces into the right order","شرح هادي لطفل"
"1","hint","hint-005-wu5wis.mp3","دوس على الصورة اللي معمولة صح","hint-005-vvjpri.mp3","Tap the picture that is done right","شرح هادي لطفل"
"1","hint","hint-006-1d74yqq.mp3","امشي ورا السهم ودوس في الوقت الصح","hint-006-1xeucw2.mp3","Follow the arrow and tap at the right moment","شرح هادي لطفل"
"1","hint","hint-007-1gyax5.mp3","دوس على مكان الغلطة","hint-007-1quz0ei.mp3","Tap where the mistake is","شرح هادي لطفل"
"1","hint","hint-008-8er8dg.mp3","اتحرك واضرب الإجابة الصح","hint-008-11taspn.mp3","Move and shoot the right answer","شرح هادي لطفل"
"1","hint","hint-009-1mxnerz.mp3","اختار الإجابة الصح","hint-009-1pmlx2l.mp3","Choose the right answer","شرح هادي لطفل"
"1","hint","hint-010-14i59tk.mp3","اختار جزء القدم، وبعدين دوس لما النيشان يبقى في النص","hint-010-uxaxl.mp3","Pick the foot part, then tap when the target is in the middle","شرح هادي لطفل"
"1","hint","hint-011-7p8bx.mp3","دوس بس على المضرب اللي عند الهدف الصح — بسرعة!","hint-011-5rl0ly.mp3","Tap only the paddle at the right target — fast!","شرح هادي لطفل"
"1","hint","hint-012-pfzx32.mp3","دوس على الرقم لما النوتة توصل للخط","hint-012-lpyl85.mp3","Tap the matching number when the note hits the line","شرح هادي لطفل"
"1","hint","hint-013-1pr2xxb.mp3","دوس لما هدف صح ينوّر — واستنى لو فخ!","hint-013-rblr5n.mp3","Tap when a good target lights up — wait on traps!","شرح هادي لطفل"
"1","hint","hint-014-8ze2sg.mp3","دوس ◀ أو ▶ عشان المؤشر يفضل في الأخضر","hint-014-1ekoys2.mp3","Hold ◀ or ▶ to keep the needle in the green","شرح هادي لطفل"
"1","hint","hint-015-huiz29.mp3","دوس لما الكيس يرجع ناحيتك","hint-015-lw8a9l.mp3","Tap when the bag swings back to you","شرح هادي لطفل"
"1","hint","hint-016-q4bwo0.mp3","كل لاعب يدوس على ناحيته لما يظهر هدف صح","hint-016-6nw5gj.mp3","Each player taps their own side when a good target shows","شرح هادي لطفل"
"1","warmup","warmup-001-1u7wsxl.mp3","تمرين القفز (جامبينج جاك)","warmup-001-1bwn0av.mp3","Jumping Jacks","اسم التمرين، بحماس"
"1","warmup","warmup-002-1dh0nzf.mp3","لفّ الجسم","warmup-002-1f95px4.mp3","Torso Twists","اسم التمرين، بحماس"
"1","warmup","warmup-003-5kugrn.mp3","لانجز لقدّام","warmup-003-1069zwe.mp3","Forward Lunges","اسم التمرين، بحماس"
"1","warmup","warmup-004-ut1j0b.mp3","لانجز على الجنب","warmup-004-tu2cqq.mp3","Side Lunge Shifts","اسم التمرين، بحماس"
"1","warmup","warmup-005-1h5xn2m.mp3","انحناء لقدام ورجليك مفتوحة","warmup-005-v0wz2m.mp3","Wide-Leg Forward Fold","اسم التمرين، بحماس"
"1","warmup","warmup-006-1dpg0pj.mp3","إطالة جانبية وإنت قاعد","warmup-006-mpdoqp.mp3","Seated Straddle Reach","اسم التمرين، بحماس"
"1","warmup","warmup-007-13iiql8.mp3","إطالة العضلة اللي ورا الفخذ برجل واحدة","warmup-007-pdhtyn.mp3","Single-Leg Hamstring Stretch","اسم التمرين، بحماس"
"1","warmup","warmup-008-1smmbhi.mp3","انحناء لقدام وإنت قاعد","warmup-008-jm49cv.mp3","Seated Forward Fold","اسم التمرين، بحماس"
"1","warmup","warmup-009-1bxrgoi.mp3","بدّل الرجل!","warmup-009-vrb9m.mp3","Switch legs!","تنبيه"
"1","kick","kick-001-fwzoli.mp3","آب تشاجي","kick-001-c7nhpm.mp3","Ap Chagi","اسم الركلة"
"1","kick","kick-002-1u614lu.mp3","نارو تشاجي","kick-002-uwjej8.mp3","Naeryeo Chagi","اسم الركلة"
