belt,id,name,kind,type,path,exists
white,gyeongnye,Charyeot · Gyeongnye,basics,image,assets/images/curriculum/gyeongnye_boy.webp,False
white,gyeongnye,Charyeot · Gyeongnye,basics,image,assets/images/curriculum/gyeongnye_girl.webp,False
white,gyeongnye,Charyeot · Gyeongnye,basics,video,assets/videos/curriculum/gyeongnye.mp4,False
white,junbi,Junbi,basics,image,assets/images/curriculum/junbi_boy.webp,False
white,junbi,Junbi,basics,image,assets/images/curriculum/junbi_girl.webp,False
white,junbi,Junbi,basics,video,assets/videos/curriculum/junbi.mp4,False
white,gihap,Gihap,basics,image,assets/images/curriculum/gihap_boy.webp,False
white,gihap,Gihap,basics,image,assets/images/curriculum/gihap_girl.webp,False
white,gihap,Gihap,basics,video,assets/videos/curriculum/gihap.mp4,False
white,counting,Hana · Dul · Set …,basics,image,assets/images/curriculum/counting_boy.webp,False
white,counting,Hana · Dul · Set …,basics,image,assets/images/curriculum/counting_girl.webp,False
white,counting,Hana · Dul · Set …,basics,video,assets/videos/curriculum/counting.mp4,False
white,naranhi-seogi,Naranhi Seogi,stance,image,assets/images/curriculum/naranhi-seogi_boy.webp,False
white,naranhi-seogi,Naranhi Seogi,stance,image,assets/images/curriculum/naranhi-seogi_girl.webp,False
white,naranhi-seogi,Naranhi Seogi,stance,video,assets/videos/curriculum/naranhi-seogi.mp4,False
white,ap-seogi,Ap Seogi,stance,image,assets/images/curriculum/ap-seogi_boy.webp,False
white,ap-seogi,Ap Seogi,stance,image,assets/images/curriculum/ap-seogi_girl.webp,False
white,ap-seogi,Ap Seogi,stance,video,assets/videos/curriculum/ap-seogi.mp4,False
white,ap-kubi,Ap Kubi,stance,image,assets/images/curriculum/ap-kubi_boy.webp,False
white,ap-kubi,Ap Kubi,stance,image,assets/images/curriculum/ap-kubi_girl.webp,False
white,ap-kubi,Ap Kubi,stance,video,assets/videos/curriculum/ap-kubi.mp4,False
white,arae-makki,Arae Makki,block,image,assets/images/curriculum/arae-makki_boy.webp,False
white,arae-makki,Arae Makki,block,image,assets/images/curriculum/arae-makki_girl.webp,False
white,arae-makki,Arae Makki,block,video,assets/videos/curriculum/arae-makki.mp4,False
white,momtong-an-makki,Momtong An Makki,block,image,assets/images/curriculum/momtong-an-makki_boy.webp,False
white,momtong-an-makki,Momtong An Makki,block,image,assets/images/curriculum/momtong-an-makki_girl.webp,False
white,momtong-an-makki,Momtong An Makki,block,video,assets/videos/curriculum/momtong-an-makki.mp4,False
white,momtong-jireugi,Momtong Jireugi,strike,image,assets/images/curriculum/momtong-jireugi_boy.webp,False
white,momtong-jireugi,Momtong Jireugi,strike,image,assets/images/curriculum/momtong-jireugi_girl.webp,False
white,momtong-jireugi,Momtong Jireugi,strike,video,assets/videos/curriculum/momtong-jireugi.mp4,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/boy_char/ap-ollyeo-chagi/ready_boy.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/girl_char/ap-ollyeo-chagi/ready_girl.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/boy_char/ap-ollyeo-chagi/chamber_boy.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/girl_char/ap-ollyeo-chagi/chamber_girl.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/boy_char/ap-ollyeo-chagi/extension_boy.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/girl_char/ap-ollyeo-chagi/extension_girl.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/boy_char/ap-ollyeo-chagi/recoil_boy.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/girl_char/ap-ollyeo-chagi/recoil_girl.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/boy_char/ap-ollyeo-chagi/return_boy.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,image,assets/images/characters/girl_char/ap-ollyeo-chagi/return_girl.webp,False
white,ap-ollyeo-chagi,Ap Ollyeo Chagi,kick,video,assets/videos/ap-ollyeo-chagi-tutorial.mp4,False
white,taegeuk-1,Taegeuk Il Jang,poomsae,image,assets/images/curriculum/taegeuk-1_diagram.webp,False
white,taegeuk-1,Taegeuk Il Jang,poomsae,video,assets/videos/curriculum/taegeuk-1.mp4,False
yellow,olgul-makki,Eolgul Makki,block,image,assets/images/curriculum/olgul-makki_boy.webp,False
yellow,olgul-makki,Eolgul Makki,block,image,assets/images/curriculum/olgul-makki_girl.webp,False
yellow,olgul-makki,Eolgul Makki,block,video,assets/videos/curriculum/olgul-makki.mp4,False
yellow,bakkat-makki,Momtong Bakkat Makki,block,image,assets/images/curriculum/bakkat-makki_boy.webp,False
yellow,bakkat-makki,Momtong Bakkat Makki,block,image,assets/images/curriculum/bakkat-makki_girl.webp,False
yellow,bakkat-makki,Momtong Bakkat Makki,block,video,assets/videos/curriculum/bakkat-makki.mp4,False
yellow,dubeon-jireugi,Dubeon Jireugi,strike,image,assets/images/curriculum/dubeon-jireugi_boy.webp,False
yellow,dubeon-jireugi,Dubeon Jireugi,strike,image,assets/images/curriculum/dubeon-jireugi_girl.webp,False
yellow,dubeon-jireugi,Dubeon Jireugi,strike,video,assets/videos/curriculum/dubeon-jireugi.mp4,False
yellow,sonnal-mok-chigi,Sonnal Mok Chigi,strike,image,assets/images/curriculum/sonnal-mok-chigi_boy.webp,False
yellow,sonnal-mok-chigi,Sonnal Mok Chigi,strike,image,assets/images/curriculum/sonnal-mok-chigi_girl.webp,False
yellow,sonnal-mok-chigi,Sonnal Mok Chigi,strike,video,assets/videos/curriculum/sonnal-mok-chigi.mp4,False
yellow,dollyo-chagi,Dollyeo Chagi,kick,image,assets/images/characters/boy_char/dollyo-chagi/ready_boy.webp,False
yellow,dollyo-chagi,Dollyeo Chagi,kick,image,assets/images/characters/girl_char/dollyo-chagi/ready_girl.webp,False
